price,location,bedrooms,baths,size,lot,taxes
145000,South,at least 3,2,1240,18000,1360
68000,North,less than 3,1,370,25000,1050
115000,North,at least 3,1.5,1130,25000,1010
69000,South,at least 3,2,1120,17000,830
163000,North,at least 3,2,1710,14000,2150
69900,North,at least 3,2,1010,8000,1230
50000,North,less than 3,2,860,15300,150
137000,North,at least 3,2,1420,18000,1470
121300,North,at least 3,2,1270,16000,1850
70000,North,at least 3,2,1160,8000,320
64500,South,at least 3,2,1220,12000,630
167000,North,at least 3,2,1690,30000,1780
114600,North,at least 3,2,1380,15500,1630
103000,North,at least 3,2,1590,16800,1530
101000,North,at least 3,1,1050,16000,930
50000,North,less than 3,1,770,22100,590
85000,South,at least 3,2,1410,12000,1050
22500,South,at least 3,1,1060,3500,20
90000,South,less than 3,2,1300,17500,870
133000,North,at least 3,2,1500,30000,1320
90500,North,less than 3,1,820,25700,1350
260000,South,at least 3,2.5,2130,25000,2790
142500,South,less than 3,1,1170,22000,680
160000,North,at least 3,2,1500,19000,1840
240000,North,at least 3,2,2790,20000,3680
87000,North,at least 3,1,1030,17500,1660
118600,North,at least 3,2,1250,20000,1620
140000,North,at least 3,2,1760,38000,3100
148000,North,less than 3,3,1550,14000,2070
65000,South,at least 3,1.5,1450,12000,650
176000,North,at least 3,2,2000,18000,2260
86500,South,at least 3,1,1350,14000,1760
180000,North,at least 3,2,1840,28000,2750
179000,North,at least 3,2,2510,25000,2020
338000,North,at least 3,3,3110,38000,4900
130000,North,at least 3,2,1760,30000,1180
77300,North,at least 3,1.5,1120,14500,590
125000,North,less than 3,1,1110,10000,1600
100000,North,at least 3,2,1360,25000,1970
100000,South,at least 3,1,1250,25000,2060
100000,North,at least 3,1,1250,25000,1980
146500,North,at least 3,2,1480,18000,1510
144900,North,at least 3,2,1520,20100,1710
183000,North,at least 3,2,2020,26000,1590
77000,South,at least 3,1.5,1220,12000,1580
60000,North,less than 3,2,1640,17500,1510
127000,North,less than 3,2,940,22000,1450
86000,South,at least 3,2,1580,12000,970
95000,South,at least 3,2.5,1270,12000,1250
270500,North,at least 3,2.5,2440,41000,4020
75000,South,at least 3,1.5,1520,12000,700
81000,North,less than 3,1,980,13000,820
188000,South,at least 3,2,2300,21600,2050
85000,South,at least 3,2,1430,12500,710
137000,North,at least 3,2,1380,18000,1280
92900,North,at least 3,1.5,1010,18000,1800
93000,North,at least 3,1.5,1780,4000,20
109300,North,at least 3,2,1120,15500,800
131500,North,at least 3,2,1900,25000,1220
200000,North,at least 3,3,2430,30000,3360
81900,North,at least 3,2,1080,8000,210
91200,North,less than 3,1,1350,13000,380
124500,North,at least 3,3,1720,12000,1920
225000,South,at least 3,3,4050,35000,4350
136500,North,at least 3,2,1500,18000,1510
268000,North,at least 3,2.5,2530,36000,4290
70700,South,at least 3,1.5,1020,9000,1160
70000,South,at least 3,2.5,2070,10800,970
140000,North,at least 3,2,1520,18500,1400
89900,North,less than 3,2,1280,6000,790
137000,North,at least 3,2,1620,18000,1210
103000,South,at least 3,2,1520,12000,1550
183000,North,at least 3,2,2030,23000,2800
140000,North,at least 3,2,1390,20100,2560
160000,North,at least 3,2,1880,22000,1390
192000,North,at least 3,2.5,2780,30000,2820
130000,North,less than 3,1,1340,27000,2850
123000,North,less than 3,2,940,22000,2230
21000,North,less than 3,1,580,9000,20
85000,South,at least 3,2,1410,12000,1510
69900,South,at least 3,2,1150,4500,710
125000,North,at least 3,2,1380,18000,1540
162600,North,at least 3,2,1470,20100,1780
156900,North,less than 3,2,1590,22000,2920
105900,North,at least 3,2,1200,15500,1710
167500,South,at least 3,2,1920,22000,1880
151800,North,at least 3,2,2150,29000,1680
118300,North,at least 3,3,2200,30000,3690
94300,North,less than 3,2,860,15500,900
93900,South,at least 3,1,1230,12000,560
165000,North,at least 3,2,1140,18200,2040
285000,North,at least 3,3,2650,36000,4390
45000,North,at least 3,1,1060,8000,690
124900,North,at least 3,2,1770,16000,2100
147000,North,at least 3,2,1860,35000,2880
176000,North,less than 3,2,1060,27500,990
196500,South,at least 3,2,1730,47400,3030
132200,North,at least 3,2,1370,18000,1580
88400,South,at least 3,2,1560,12000,1770
127200,North,at least 3,2,1340,18000,1430
